date,ticker,close,marcap
2021-07-31,005935,72100,58831773274400
2021-08-31,005935,70800,57771006211200
2021-09-30,005935,69600,56791836614400
2021-10-31,005935,64000,52222378496000
2021-11-30,005935,63900,52140781029600
2021-12-31,005935,71200,58097396076800
2022-01-31,005935,66300,54099120223200
2022-02-28,005935,66100,53935925290400
2022-03-31,005935,63000,51406403832000
2022-04-30,005935,59300,48387297575200
2022-05-31,005935,60700,49529662104800
2022-06-30,005935,52000,42430682528000
2022-07-31,005935,57000,46510555848000
2022-08-31,005935,54500,44470619188000
2022-09-30,005935,46900,38269211741600
2022-10-31,005935,53300,43491449591200
2022-11-30,005935,55900,45612983717600
2022-12-31,005935,50500,41206720532000
2023-01-31,005935,55000,44878606520000
2023-02-28,005935,53400,43573047057600
2023-03-31,005935,53900,43981034389600
2023-04-30,005935,55700,45449788784800
2023-05-31,005935,58600,47816115310400
2023-06-30,005935,59500,48550492508000
2023-07-31,005935,57400,46836945713600
2023-08-31,005935,54000,44062631856000
2023-09-30,005935,54500,44470619188000
2023-10-31,005935,53600,43736241990400
2023-11-30,005935,57900,47244933045600
2023-12-31,005935,62300,50835221567200
2024-01-31,005935,58700,47897712776800
2024-02-29,005935,63600,51895988630400
2024-03-31,005935,68000,55486277152000
2024-04-30,005935,65200,53201548092800
2024-05-31,005935,60300,49203272239200
2024-06-30,005935,63600,51895988630400
2024-07-31,005935,64900,52956755693600
2024-08-31,005935,60000,48958479840000
2024-09-30,005935,50900,41533110397600
2024-10-31,005935,47950,39125985138800
2024-11-30,005935,46200,37698029476800
2024-12-31,005935,44200,36066080148800
2021-09-30,329180,115500,10253294898000
2021-10-31,329180,117000,10386454572000
2021-11-30,329180,106500,9454336854000
2021-12-31,329180,95200,8451200643200
2022-01-31,329180,99300,8815170418800
2022-02-28,329180,109500,9720656202000
2022-03-31,329180,119500,10608387362000
2022-04-30,329180,140000,12428236240000
2022-05-31,329180,119000,10564000804000
2022-06-30,329180,143000,12694555588000
2022-07-31,329180,125000,11096639500000
2022-08-31,329180,143500,12738942146000
2022-09-30,329180,115000,10208908340000
2022-10-31,329180,109000,9676269644000
2022-11-30,329180,118500,10519614246000
2022-12-31,329180,116000,10297681456000
2023-01-31,329180,110800,9836061252800
2023-02-28,329180,106400,9445459542400
2023-03-31,329180,100000,8877311600000
2023-04-30,329180,109600,9729533513600
2023-05-31,329180,116100,10306558767600
2023-06-30,329180,131700,11691419377200
2023-07-31,329180,139700,12401604305200
2023-08-31,329180,130800,11611523572800
2023-09-30,329180,121200,10759301659200
2023-10-31,329180,102100,9063735143600
2023-11-30,329180,125200,11114394123200
2023-12-31,329180,129000,11451731964000
2024-01-31,329180,114100,10129012535600
2024-02-29,329180,117900,10466350376400
2024-03-31,329180,118000,10475227688000
2024-04-30,329180,137700,12224058073200
2024-05-31,329180,128700,11425100029200
2024-06-30,329180,155700,13821974161200
2024-07-31,329180,211000,18731127476000
2024-08-31,329180,193800,17204229880800
2024-09-30,329180,184600,16387517213600
2024-10-31,329180,182600,16209970981600
2024-11-30,329180,220000,19530085520000
2024-12-31,329180,287500,25522270850000
2015-01-31,005380,169500,34706441337000
2015-02-28,005380,160500,32863621443000
2015-03-31,005380,168500,34501683571000
2015-04-30,005380,169000,34604062454000
2015-05-31,005380,158000,32351727028000
2015-06-30,005380,136000,27847056176000
2015-07-31,005380,149000,30508907134000
2015-08-31,005380,149000,30508907134000
2015-09-30,005380,164000,33580273624000
2015-10-31,005380,156000,31942211496000
2015-11-30,005380,147500,30201770485000
2015-12-31,005380,149000,30508907134000
2016-01-31,005380,133000,27232782878000
2016-02-29,005380,147500,30201770485000
2016-03-31,005380,152500,31225559315000
2016-04-30,005380,143500,29382739421000
2016-05-31,005380,139500,28563708357000
2016-06-30,005380,135500,27744677293000
2016-07-31,005380,132000,27028025112000
2016-08-31,005380,133000,27232782878000
2016-09-30,005380,135500,27744677293000
2016-10-31,005380,140000,28666087240000
2016-11-30,005380,133000,27232782878000
2016-12-31,005380,146000,29894633836000
2017-01-31,005380,139500,28563708357000
2017-02-28,005380,149500,30611286017000
2017-03-31,005380,157500,32249348145000
2017-04-30,005380,144000,29485118304000
2017-05-31,005380,163000,33375515858000
2017-06-30,005380,159500,32658863677000
2017-07-31,005380,145000,29689876070000
2017-08-31,005380,140500,28768466123000
2017-09-30,005380,150500,30816043783000
2017-10-31,005380,161000,32966000326000
2017-11-30,005380,164500,33682652507000
2017-12-31,005380,156000,31942211496000
2018-01-31,005380,162000,33170758092000
2018-02-28,005380,161500,33068379209000
2018-03-31,005380,143500,29382739421000
2018-04-30,005380,160000,32761242560000
2018-05-31,005380,139000,28461329474000
2018-06-30,005380,125500,25697099633000
2018-07-31,005380,129500,26516130697000
2018-08-31,005380,125000,25594720750000
2018-09-30,005380,129500,26516130697000
2018-10-31,005380,106500,21806702079000
2018-11-30,005380,107000,21909080962000
2018-12-31,005380,118500,24263795271000
2019-01-31,005380,129500,26516130697000
2019-02-28,005380,126500,25901857399000
2019-03-31,005380,119500,24468553037000
2019-04-30,005380,138500,28358950591000
2019-05-31,005380,134500,27539919527000
2019-06-30,005380,140000,28666087240000
2019-07-31,005380,126500,25901857399000
2019-08-31,005380,128500,26311372931000
2019-09-30,005380,134000,27437540644000
2019-10-31,005380,122000,24980447452000
2019-11-30,005380,121000,24775689686000
2019-12-31,005380,120500,24673310803000
2020-01-31,005380,125000,25594720750000
2020-02-29,005380,115000,23547143090000
2020-03-31,005380,88700,18162013844200
2020-04-30,005380,93600,19165326897600
2020-05-31,005380,98000,20066261068000
2020-06-30,005380,97700,20004833738200
2020-07-31,005380,126500,25901857399000
2020-08-31,005380,176500,36139745699000
2020-09-30,005380,178500,36549261231000
2020-10-31,005380,164500,33682652507000
2020-11-30,005380,181500,37163534529000
2020-12-31,005380,192000,39313491072000
2021-01-31,005380,229000,46889528414000
2021-02-28,005380,237000,48527590542000
2021-03-31,005380,218000,44637192988000
2021-04-30,005380,212000,43408646392000
2021-05-31,005380,235000,48118075010000
2021-06-30,005380,239500,49039484957000
2021-07-31,005380,218000,44637192988000
2021-08-31,005380,212500,43511025275000
